Protein	Genes	ABAGE_IgG	ABAGE_S	ANAMA_IgG	ANAMA_S	CARVA_IgG	CARVA_S	CECPA_IgG	CECPA_S	CHAAN_IgG	CHAAN_S	control_TGF5	DEPMA_IgG	DEPMA_S	DEVZI_IgG	DEVZI_S	DUCMA_IgG	DUCMA_S	GRUMA_IgG	GRUMA_S	HC4_IgG	HC4_S	HC7_IgG	HC7_S	HC9_IgG	HC9_S	HC10_IgG	HC10_S	HC11_IgG	HC11_S	LEFKA_IgG	LEFKA_S	MATEV_IgG	MATEV_S	PBS	RADSO_IgG	RADSO_S	VANMC_IgG	VANMC_S	VERSA_IgG	VERSA_S	WILWI_IgG	WILWI_S
P01023	A2M	28.5761	31.4579	29.1014	32.6445	29.5352	32.3367	28.2027	31.9157	28.0479	31.1461	28.0479	27.933	32.4548	27.8838	30.1696	27.8748	31.0559	31.0001	33.1315	27.7502	31.0419	27.2217	30.9918	27.5823	31.0705	27.2254	30.6962	27.8767	31.0979	29.8114	32.8835	29.2502	31.3678	27.533	27.7932	30.7429	28.0204	32.3191	27.7619	31.9879	27.8961	31.1441
D6W5G0	AAK1	23.5199	25.7929	24.0915	24.5919	25.1087	22.9321	25.9777	25.4158	26.5412	26.0604	26.898	26.0834	25.0751	26.0957	26.1448	26.3809	26.2099	26.4865	26.2916	27.2475	26.4492	27.2966	26.6938	26.6154	26.9362	27.3228	27.3402	25.2324	26.9188	24.1859	23.6303	24.0429	24.3267	26.9672	26.5697	26.0668	26.8292	26.4119	25.8333	25.1512	26.0787	23.3803
A0A096LP25	AAK1	23.4305	24.5549	22.7847	22.4285	23.5755	23.5189	24.4601	24.3231	24.2083	23.7076	24.833	22.3484	24.3635	24.2536	24.2605	22.2365	24.1252	24.2556	24.2479	24.2909	23.6977	24.4483	24.5281	24.555	24.3529	24.5016	24.398	24.3981	24.8979	23.6627	23.7927	23.8893	23.0326	24.1879	24.4975	24.2813	24.0496	24.1628	24.6668	24.385	23.7752	24.3372
E9PNP3	AAMDC	23.6787	24.661	22.1138	24.8256	24.7155	23.926	24.0531	22.5938	24.2529	24.6697	22.7969	24.3088	24.7627	24.2351	24.5513	22.2855	24.856	24.3966	24.3422	24.0536	24.1528	22.5606	22.6692	24.1465	24.215	21.8789	22.8555	23.4753	23.0164	22.7589	24.4867	24.1305	24.6227	22.204	23.9434	24.6017	24.2369	24.3637	24.352	24.3056	24.5822	22.6505
P49588	AARS	30.4955	30.7361	30.0618	30.2536	30.2903	30.3969	29.676	29.6772	29.5205	29.7553	29.8191	29.6362	30.0445	29.6702	29.7175	29.9393	30.3352	29.6978	29.7763	29.6853	29.9442	29.703	29.6534	29.554	29.8308	29.5647	29.7887	29.8611	29.8554	30.1097	30.2204	30.0275	30.2865	29.5087	29.6216	29.7788	29.6337	29.8651	29.7638	29.9866	29.9246	30.2509
A0A024R436	ABCB6	22.7949	24.8	22.5552	23.15	24.2415	24.2598	24.3244	22.6655	24.1659	23.8645	23.7822	23.4697	24.1213	24.5628	23.3744	22.7266	24.2784	24.2415	23.4268	24.0331	24.295	24.2213	23.7313	23.7565	23.6557	23.3693	24.205	24.7205	23.744	22.573	23.4893	23.6889	23.7323	24.3119	24.179	24.0974	24.3777	24.4728	23.6629	23.621	24.215	23.8788
P28288	ABCD3	25.3102	26.3394	25.6507	25.1149	26.1255	24.8219	25.8071	25.3909	25.7701	25.2722	25.9616	26.2508	25.4389	25.7813	25.6338	25.8732	26.0316	25.7806	24.949	26.1698	25.5913	26.3044	25.1729	25.6546	25.5658	25.7285	25.5758	25.6503	25.1453	26.0424	25.6532	25.6829	26.0055	26.1537	25.7046	25.7102	25.8365	25.4893	25.8009	25.6877	25.9328	25.4279
P61221	ABCE1	27.4349	27.0672	27.318	27.3286	27.0026	27.3342	26.5625	26.8092	27.1249	27.0099	26.6711	27.3113	27.5608	27.0721	27.1965	27.9138	27.6292	26.9657	27.1227	27.3732	27.3371	26.9394	26.7701	26.8227	26.7808	26.7189	26.8743	27.2848	26.8203	26.821	27.1357	27.1098	27.3852	26.723	27.1466	27.0549	26.968	27.1006	27.4178	27.3217	27.4165	27.9397
A0A1U9X609	ABCF1	26.826	26.6857	26.4193	26.6357	26.7516	26.7986	26.5595	26.3624	26.37	26.3496	26.7052	26.3515	26.2351	26.5437	26.6123	26.6088	27.0091	26.4868	26.2631	26.6103	26.4333	26.7796	26.5741	26.7646	26.7098	26.9257	26.5052	26.6966	26.6013	26.8695	26.8484	27.0091	26.9705	26.6824	26.6298	26.3428	26.6553	26.6287	26.317	26.5658	26.699	26.514
A0A090N7X1	ABCF2	23.4186	22.4244	23.3725	24.6717	23.3713	22.1556	24.2727	23.843	23.8901	24.1688	25.1962	24.2534	22.9324	24.4219	24.5954	23.4349	23.5938	24.3018	24.4568	23.9187	24.2979	24.6875	25.0743	24.765	24.5847	24.7599	25.0362	23.4699	24.5127	23.6431	21.9952	22.8911	23.0424	25.0328	24.2444	24.2763	24.2698	24.2185	21.9505	22.297	21.9041	23.7684
B4DRU9	ABCF3	25.0013	23.5874	21.4666	24.387	24.1029	23.8331	23.2481	22.3713	22.3769	22.664	21.1263	21.1261	22.8161	21.537	22.8788	23.045	22.4605	22.2649	21.7769	21.1684	22.0604	23.2639	22.4809	24.2534	22.3972	23.9763	23.1135	24.5736	21.2581	23.7924	24.3705	21.8729	21.7587	23.8334	23.1752	24.0795	22.7846	22.2589	23.0628	23.0464	24.3042	23.8103
Q9NUJ1	ABHD10	23.0733	23.9191	23.862	23.8468	22.8153	23.4774	24.6484	24.5824	25.0595	24.9829	24.4679	24.3528	22.624	24.9449	24.3675	22.8273	21.1793	24.9045	25.1626	24.9463	24.6957	24.6842	21.9721	24.4632	24.5781	23.9353	24.9068	22.7433	24.1009	23.3085	25.2046	22.7708	22.4895	24.2676	24.8481	24.6371	24.9958	24.7499	22.8903	23.1923	24.0249	23.8598
A0A0A0MRT6	ABI1	24.2649	24.4124	23.0217	22.5958	23.1927	21.5936	25.1383	24.9075	22.5497	22.6415	23.3887	25.4266	25.8663	21.8113	24.8771	25.2958	25.6599	25.1936	25.2072	25.2931	24.6375	25.471	22.6585	24.8112	24.708	25.4229	25.28	24.5427	24.7828	23.6533	23.0107	24.0699	23.5367	24.4029	24.8961	22.8172	21.6308	24.7456	25.7984	25.578	24.1898	22.7306
B7Z2X0	ABR	23.9786	23.1289	20.7633	22.7134	24.065	22.5664	22.6863	22.6326	23.3412	21.4876	21.5478	23.3699	23.0732	21.7418	22.7925	24.4771	24.398	21.9178	22.007	22.5274	22.9704	24.1003	21.482	23.8875	23.1539	23.0969	23.7064	21.6614	23.342	22.9666	23.3181	24.0189	23.6799	22.5366	22.9025	23.2877	24.0918	23.2518	22.2881	23.5075	24.1131	23.755
B4DEN6	ACAA1	27.0972	27.0487	26.9812	26.448	26.654	27.1867	26.601	26.4424	26.1574	25.9978	25.8319	26.1959	26.2892	26.4666	26.0014	26.2819	25.9083	26.0496	25.7275	26.2438	26.2549	26.2232	25.1162	26.3081	26.122	25.9998	25.988	26.2698	25.7316	27.8292	26.7634	26.7717	26.6698	25.8901	26.5584	25.9743	26.1849	25.9387	26.3487	26.4167	27.0253	27.0266
B2RB23	ACAA2	28.4557	28.6947	28.512	28.5982	28.5723	28.7428	28.3514	28.2152	28.3856	28.0942	27.715	28.8189	28.7528	28.3329	28.1419	28.748	28.5545	28.1158	28.5756	28.4523	28.4335	28.088	28.314	28.2428	28.1789	28.4951	28.3202	28.5542	28.4318	28.763	28.7359	28.7091	28.5486	27.9078	28.2911	28.4444	28.2818	28.1568	28.5698	28.4787	28.7301	28.488
Q9H845	ACAD9	25.0747	23.3438	31.087	31.4299	31.2454	31.4485	30.7832	30.8235	30.5728	30.891	23.7077	30.8807	20.9698	30.9681	30.8774	22.8866	24.1937	30.4849	30.7239	30.5443	30.9703	30.3317	30.9338	30.7899	30.7003	30.5411	30.7112	31.6219	31.3003	31.6019	31.1926	31.0878	31.3677	30.8807	30.9176	31.0963	30.8466	30.6352	22.5559	22.8782	23.704	22.1214
A0A0S2Z366	ACADM	25.3119	24.8364	25.2226	25.5509	24.9698	25.2755	25.4024	25.2479	25.4733	25.3989	24.1684	25.7285	25.7486	25.3932	25.4183	25.7906	25.1485	25.1752	25.3196	25.3437	25.5365	24.7412	24.7645	24.4181	25.1022	24.6876	25.5873	24.2553	25.2584	25.309	25.1411	24.7739	23.5857	24.2362	25.4937	25.4435	25.4274	25.4429	25.684	25.6827	25.3809	25.2268
A0A0S2Z3P9	ACADSB	23.6835	22.7234	22.9689	23.5557	22.4201	23.8358	24.0652	23.2326	23.7102	24.0746	22.8902	21.1449	23.584	23.3038	21.9839	24.0004	24.2858	23.6084	23.6985	23.6466	23.6122	24.0866	23.9933	21.8622	21.7814	23.7587	23.7916	24.4568	24.0322	23.3029	22.2815	23.5158	24.7717	22.0816	23.5571	23.7617	23.8848	21.1581	23.8678	23.78	22.3482	23.8984
P49748	ACADVL	28.2846	28.0309	28.0567	28.6426	28.3729	28.8742	27.9377	28.3475	27.9999	28.1437	27.1985	27.7698	28.3912	27.8631	28.0045	28.1958	28.4255	27.9258	28.8886	27.9757	28.1405	28.0512	28.0754	27.8687	27.947	27.7984	28.2783	27.9456	28.2661	28.2952	27.9159	28.19	28.4782	27.7262	27.9095	28.2678	27.8691	28.2725	27.9984	28.3229	28.162	28.136
A0A087X1H5	ACAP2	24.4663	24.9136	24.4798	24.3161	24.5433	24.4755	23.052	23.3278	24.6146	24.328	23.9488	24.314	24.4174	24.2591	24.0618	25.0082	24.4192	24.767	23.6811	24.8816	24.3617	24.6323	24.7165	24.6933	24.7308	23.2571	24.25	25.3959	24.3623	24.1451	24.3715	24.407	24.6858	23.6222	24.7926	23.7469	24.1883	24.0741	24.8746	24.4256	24.2176	24.5691
A0A140VJX1	ACAT1	28.3472	28.906	27.927	28.7658	28.4081	28.2956	29.0586	28.5981	28.5984	28.576	27.3931	28.5016	28.0956	28.4279	28.5319	28.7342	28.4997	28.6396	28.7463	28.5559	28.5599	28.8522	28.9687	28.8259	28.7924	28.8676	28.6743	28.9874	29.0676	28.6464	28.5043	28.4802	28.7013	28.3181	28.5081	28.7758	28.3871	28.511	28.2784	28.6752	28.5868	28.4852
Q9BWD1	ACAT2	28.7788	27.9397	28.7242	28.1155	28.8212	27.9189	28.3526	27.1536	28.06	27.8395	28.2313	28.5704	28.3227	27.8748	27.3247	28.5095	27.5412	28.1761	27.2686	28.1472	27.3363	28.3838	27.5344	28.0484	27.4609	28.0612	27.6012	28.4249	27.5809	28.9504	28.4344	28.6029	27.5258	27.9227	28.2	27.1695	28.1843	27.6171	28.7092	28.5437	28.6967	27.596
A0A024R3P9	ACBD3	26.9545	27.2743	26.6106	26.7249	26.6285	26.4912	26.2802	26.043	26.3801	26.5144	26.8008	26.1603	26.0999	26.1238	26.329	26.3832	26.6414	26.4681	26.4315	26.4001	26.3411	26.552	26.4733	26.2904	26.1412	26.6854	26.3912	26.6664	26.3254	26.7523	26.6113	26.7962	26.4654	26.5732	26.3848	26.579	26.4008	26.3783	26.4705	26.4972	26.3256	26.5667
S4R3H4	ACIN1	26.731	26.9444	26.3075	26.2031	26.6486	25.9611	26.0815	26.0362	26.2095	25.9491	26.2835	25.9074	26.4416	26.1268	26.2394	26.454	26.8322	26.2756	25.6719	25.7063	25.8743	26.5959	26.5248	26.3776	26.0465	26.4021	26.508	26.5282	26.6819	25.0322	26.3251	26.7354	25.666	26.4375	26.0042	26.3212	26.1871	26.2251	26.5004	26.3708	26.2528	26.3848
A0A024R1T9	ACLY	31.0979	30.2169	30.8531	30.0668	31.0557	30.189	31.0746	30.2383	30.7291	30.2121	31.102	31.1625	30.4933	30.8817	30.3773	31.189	30.4161	30.9075	29.9093	30.9635	30.2283	31.057	30.3032	30.9704	30.4643	30.8819	30.4197	31.0479	30.4978	30.9398	30.3232	30.7464	30.1428	30.7667	30.9723	30.1242	30.8342	30.0597	31.0475	30.7016	31.2201	30.5649
A0A0K0K1H7	ACO2	28.0145	28.8155	28.1363	28.353	27.9791	28.1879	28.3417	28.1345	28.1488	28.1559	27.6185	28.328	28.8254	28.0797	28.1402	28.4295	28.3877	28.1201	28.2217	28.2438	28.2614	28.3096	28.3122	28.315	28.2479	28.1953	28.3518	28.4375	28.5854	28.0289	28.2544	28.1077	28.4281	27.9252	28.1357	28.3594	28.0845	28.2324	28.5694	28.7915	28.4943	28.4072
E9KL42	ACOT1	27.456	27.769	27.4749	26.4907	26.753	26.9878	27.1324	27.1236	27.0241	26.7789	26.9822	27.3895	27.3926	27.1907	26.9918	27.5652	27.2989	27.1511	26.7277	27.3222	26.7995	27.456	27.2987	27.2167	26.8987	27.3496	26.9805	27.8454	27.3095	27.6464	27.0559	27.0253	26.1671	26.8394	27.3574	27.4003	27.0216	26.8553	27.5298	27.5026	27.766	27.3324
Q9NPJ3-2	ACOT13	25.6082	25.4893	24.8454	25.3893	25.3568	25.1504	25.1589	25.2301	24.9289	25.1751	24.6481	25.3209	25.2216	25.1762	25.3021	25.5556	25.5589	25.4487	25.3406	25.2556	25.5516	25.4105	25.1457	25.2499	25.2155	25.2152	25.3315	25.3277	25.5933	23.5171	24.7417	25.3992	25.1032	24.8668	25.3294	25.3706	25.3533	25.0556	25.4201	25.3832	25.3712	25.6508
O00154	ACOT7	25.0203	25.9558	25.9419	25.9034	26.4973	26.144	26.5892	26.2002	26.664	26.4654	26.6374	26.9174	26.7186	26.7401	26.432	26.8819	26.8655	26.2598	26.6659	26.8767	26.6613	26.925	26.5729	26.7349	27.015	26.8365	26.774	26.8411	26.6092	25.952	25.9932	25.7318	25.5975	26.5894	26.7781	26.3051	26.861	26.5172	27.1956	26.8756	26.3967	26.192
Q9Y305-3	ACOT9	26.6374	26.5511	26.5829	26.452	27.2391	26.9995	26.9901	26.6321	26.8781	26.7822	26.6174	26.7623	27.1928	26.9022	26.8974	26.8232	27.0795	26.808	26.7881	26.9469	26.7385	26.6979	26.9682	26.473	26.8677	27.0066	26.8522	27.3211	26.7838	26.7025	26.5849	26.2201	26.8131	26.6529	27.0283	26.9812	26.5809	26.6506	27.1295	27.2139	26.7588	26.8491
A0A024R8T3	ACOX1	25.4214	24.6218	24.9031	24.8054	24.5882	24.5386	24.9159	24.0148	24.6955	24.2491	25.4231	25.012	24.7645	25.0349	24.4484	25.0794	23.6707	24.0936	22.7495	25.0323	24.5623	25.1586	24.6229	25.1039	24.6597	25.4002	24.5104	25.6111	24.207	25.2407	23.601	22.9058	23.7723	24.9054	25.389	21.4653	24.9699	24.3435	25.3572	24.4933	22.1233	23.561
B4DPM1	ACOX2	23.2292	23.842	22.1448	22.6603	24.1637	23.5502	22.7825	23.3426	22.8177	22.7239	23.5785	21.8272	23.3676	22.908	22.418	22.7225	23.3242	24.0612	21.5795	23.2605	22.6727	21.065	22.9354	23.7596	21.6178	23.0023	23.0026	21.1654	22.6361	23.9689	24.1736	23.6349	23.7558	23.0425	24.4454	23.0017	22.7403	23.4987	23.9646	22.5077	22.7189	24.0437
B2R856	ACOX3	23.4712	24.2355	22.7665	22.3194	24.5434	21.8786	25.7737	23.5071	26.479	23.4783	21.7035	25.9815	23.358	25.9837	25.9681	23.3751	22.1717	26.0883	26.2504	26.4439	25.9284	24.8226	22.113	23.4888	22.3793	24.4026	25.0734	21.723	21.2013	24.6155	24.6783	25.1704	23.9659	23.548	26.2488	25.2476	25.6668	25.552	22.6472	22.7589	22.8666	22.9883
Q59EH3	ACP1	26.0379	25.7914	23.8477	22.9788	26.2084	25.9015	26.1447	26.2373	26.3992	25.866	26.119	26.0188	25.6701	26.3492	26.2446	25.83	26.1258	26.1549	25.8466	26.1703	26.1796	26.4239	26.126	26.0432	26.0733	26.155	26.133	26.2902	25.7872	26.5158	22.4526	26.1968	26.1604	26.1758	26.3309	26.2025	26.2256	26.1495	25.7747	25.5442	25.8895	25.6198
P24666-2	ACP1	23.4952	21.3823	22.5642	23.9266	25.7796	25.5848	25.8181	25.6302	26.1117	25.7426	25.5803	25.5984	25.4833	26.0223	26.0177	22.0476	22.9329	25.9658	25.7098	25.7798	25.7978	25.7775	25.8009	25.6608	25.8296	25.7774	25.8047	26.1126	25.1904	22.7679	24.1723	23.4457	22.5688	25.6043	26.0022	26.0291	25.9792	25.9079	25.5349	25.4658	24.3744	23.1542
E9PQY3	ACP2	25.2998	23.0479	23.6757	22.0582	24.6503	24.8973	24.5397	21.1644	24.5873	24.2414	25.489	24.6522	24.5806	24.7944	24.8297	24.9963	24.7475	24.6895	24.0803	24.4445	24.6339	24.94	24.1468	24.7581	24.7352	25.0693	24.9673	25.4919	24.7563	23.3737	23.7659	23.3782	23.1947	25.2526	24.6998	25.1112	24.6623	24.2556	24.9005	24.8633	24.5315	24.7859
A8K9T3	ACSL1	24.9918	23.9783	24.7462	23.4219	23.7865	24.8316	25.0637	24.7547	24.3507	24.8216	24.5766	22.957	21.7349	24.7474	24.8235	22.6015	23.2207	24.9083	24.7103	21.6615	21.4221	24.0073	20.8467	24.1989	22.3165	22.564	24.3051	22.9125	21.3151	24.8709	22.2144	21.8965	22.5363	22.7927	21.4508	22.9329	24.6984	24.6659	22.7796	22.9422	22.9693	22.8682
B3KN05	ACSL3	28.858	27.606	28.6228	27.739	28.916	27.93	28.8859	28.3111	28.7807	28.1289	29.0323	28.7687	27.8697	28.7538	28.3321	28.3878	27.8494	28.5504	28.0368	28.8578	28.106	28.9048	28.1582	28.75	28.4176	28.8309	28.2472	28.9842	28.5154	28.4202	28.3382	28.7277	28.1357	28.5948	29.022	28.2182	28.7465	28.1139	28.5359	28.2752	28.3477	28.1238
O60488-2	ACSL4	27.4092	27.1887	27.9743	27.2118	27.8604	27.6281	28.1967	27.8243	28.1803	27.6533	28.1066	28.2858	27.5975	28.2105	27.8416	28.1454	27.5454	28.041	27.5513	28.3417	27.6669	28.4119	27.8934	28.2625	27.9561	28.2648	28.0882	28.4409	28.2028	28.1798	27.9903	28.1622	27.6501	28.0182	28.3413	28.0404	28.2457	27.6722	28.0279	27.8732	27.961	27.593
H0UIA1	ACSS2	23.4607	24.3428	25.5152	24.8026	26.1124	24.693	25.723	24.8363	25.2433	24.8146	25.0181	25.7358	25.215	25.3758	24.7313	25.0547	23.2573	26.1225	24.4723	25.8429	24.3985	25.6022	24.6334	25.3129	24.9375	25.3489	24.866	25.7228	25.191	25.975	25.9381	26.1687	24.4016	25.5739	25.4383	24.8488	25.5118	25.0783	25.5633	24.9461	25.5701	24.3102
P68133	ACTA1	23.9693	23.3377	23.1897	22.2752	24.52	23.9651	36.5053	36.5052	36.4219	22.3685	22.2488	23.3432	21.471	21.5133	22.0376	23.8491	23.9669	21.9536	23.8039	22.4511	21.3181	22.3326	22.3993	22.7624	21.1751	22.3307	22.3029	23.4496	22.0146	24.5811	23.4351	22.9438	23.9179	22.0048	36.5262	23.1166	36.5053	22.3706	21.9818	21.1793	22.07	22.1338
D2JYH4	ACTA2	23.6163	23.1006	36.5087	23.145	36.382	23.2259	36.5212	36.4688	36.4868	22.7034	23.1726	22.6981	21.7544	21.9689	22.2944	23.4116	22.9269	23.5872	23.4903	22.8995	22.9257	21.4531	23.5058	23.7018	24.0587	23.2049	22.2948	23.3421	22.585	22.8216	36.4572	22.9976	22.2137	23.4708	22.5825	22.9313	36.5294	21.6175	23.5529	22.353	24.0368	22.1694
Q13707	ACTA2	35.6366	36.1592	36.476	23.8286	36.278	23.0997	35.9171	35.83	35.8161	36.1266	36.0438	36.4767	36.5184	36.1033	36.125	36.3644	36.3532	36.2211	36.0104	36.4666	23.129	36.218	36.1584	36.0909	36.3083	36.1586	36.1073	36.1445	36.2644	36.4676	36.315	36.4732	21.7761	35.8643	35.933	36.0921	35.9713	36.0354	36.3138	36.4669	36.4516	36.3927
P68032	ACTC1	22.9813	22.6053	23.9861	23.0189	23.929	23.4739	36.5172	36.5122	36.4639	22.2936	23.0751	22.6636	22.7048	23.2948	23.4552	23.761	22.9708	22.5467	20.9123	21.4684	22.2746	22.4533	22.0898	22.8861	22.7078	22.2457	24.0434	22.2163	23.1041	23.0493	23.235	23.0408	22.9559	22.8268	23.2762	22.5963	36.5188	22.7344	23.7553	23.9729	22.0997	23.2085
I3L4N8	ACTG1	35.3423	35.8375	23.747	23.9768	23.346	22.1116	35.8241	36.1373	35.712	36.2767	35.5471	36.1716	36.1934	35.9009	35.9726	35.9926	35.8566	36.2966	36.0169	35.9559	36.2673	35.5913	35.5825	35.6958	35.8347	35.6596	35.5806	35.8331	35.8939	22.4858	23.3121	22.842	23.582	35.6761	35.829	35.9709	35.8808	35.9719	36.0279	36.124	36.2793	36.2451
Q53FS0	ACTL6A	26.7273	25.3932	27.0278	25.8146	26.2944	25.9472	25.986	25.4016	26.0606	25.9689	26.0016	25.9557	26.5792	25.8015	25.9575	26.0355	26.4331	26.0507	25.9602	25.8119	26.0175	25.8101	25.9376	25.4508	25.5708	25.8007	25.8931	26.2467	26.0003	26.6169	26.3668	26.1282	26.7512	25.6056	26.032	26.073	26.0315	25.5533	26.5891	26.3483	25.92	26.1338
P12814-3	ACTN1	33.4935	33.5141	34.1769	33.8465	34.2002	33.8756	33.7985	33.7133	33.7866	33.6865	33.9181	33.9253	33.5865	33.8267	33.659	33.8646	33.6686	33.7886	33.5972	33.9089	33.7683	33.7314	33.4833	33.7853	33.6877	33.8241	33.6383	33.7646	33.7283	34.1977	33.8792	34.1214	33.988	33.9598	33.8378	33.6788	33.7878	33.5945	33.822	33.64	33.7382	33.7683
A0A024R694	ACTN1	33.4773	33.4782	34.1479	33.8093	34.1736	33.8623	33.8276	33.7375	33.8413	33.728	33.9598	33.9484	33.6162	33.8714	33.6989	33.8805	33.6797	33.8184	33.6257	33.9316	33.7914	33.7947	33.5403	33.8433	33.7406	33.8822	33.6877	33.8324	33.7864	34.1536	33.8425	34.0868	33.9632	33.9992	33.8712	33.7274	33.8211	33.6469	33.8357	33.6574	33.7421	33.7716
A0A0S2Z3G9	ACTN4	33.5542	33.6689	33.7617	33.5916	33.844	33.634	33.6437	33.6149	33.6079	33.609	33.6271	33.7037	33.5919	33.6269	33.656	33.7168	33.6757	33.6805	33.5505	33.6291	33.6653	33.5303	33.4322	33.5615	33.5988	33.4294	33.5083	33.6271	33.616	33.8106	33.6525	33.6736	33.7277	33.6117	33.653	33.6086	33.6345	33.5817	33.6977	33.6509	33.5807	33.6079
Q9NZ32	ACTR10	24.8541	24.1711	23.4891	22.9142	23.0724	22.7382	23.8013	23.9278	24.5855	24.2324	24.7619	24.5363	24.7465	24.473	24.1019	24.6591	25.2707	24.4243	24.3398	24.546	24.5138	25.0833	24.6239	24.8145	24.6559	24.6269	24.7527	25.3084	25.1954	23.2323	23.1951	23.271	23.0887	24.5782	24.6222	24.4122	24.477	24.02	24.9539	24.785	24.7836	25.1219
P61163	ACTR1A	29.2573	29.1729	28.7313	28.8377	28.7175	28.4565	29.123	29.0106	29.1526	29.2852	29.4187	29.3774	29.5239	29.2418	29.3587	29.5749	29.2391	29.175	29.1454	29.4562	29.3226	29.4968	29.3486	29.425	29.3662	29.3144	29.1691	29.2183	29.1686	28.9535	28.5951	28.8144	28.742	29.0452	29.2975	29.2516	29.3643	29.2676	29.5931	29.587	29.4057	29.1411
P42025	ACTR1B	29.0749	28.7461	28.3876	28.395	28.3535	28.3975	28.5854	28.0596	28.5686	28.4442	28.3906	28.7256	28.9077	28.4725	28.4602	28.9478	28.5931	28.6348	28.5655	28.948	28.7064	29.008	28.633	28.9037	28.8579	28.9296	28.602	28.6724	28.639	28.7909	28.6592	28.6305	28.5311	28.2482	28.6055	28.6566	28.5468	28.4734	28.7729	28.9722	28.8942	28.7546
P61160	ACTR2	30.442	30.0062	30.7317	30.5719	30.6198	30.564	30.4675	30.331	30.4758	30.4096	30.4121	30.4604	30.1738	30.459	30.3593	30.296	30.2677	30.3212	30.2811	30.4452	30.4241	30.46	30.3761	30.4577	30.3437	30.5255	30.4691	30.6867	30.5177	30.6531	30.4824	30.5162	30.5979	30.236	30.31	30.4386	30.4667	30.3555	30.1966	30.1915	30.3296	30.2261
A0A024RAI1	ACTR3	29.4104	29.9088	30.5341	30.448	30.1109	30.2049	30.6648	30.6564	31.0199	30.8549	30.9136	30.4696	29.9537	30.8546	30.8772	29.7552	29.7362	30.8279	30.805	30.853	30.7228	30.9657	30.774	30.8176	30.9545	30.764	30.7934	31.195	31.0383	30.055	30.3056	30.4039	30.5034	30.5683	30.9256	30.8376	30.8762	30.7871	30.0589	29.9673	30.0267	29.9534
G3V2U7	ACYP1	24.7575	23.9845	24.3218	23.5989	23.975	21.9615	23.1321	22.3107	22.6604	22.8574	23.2859	22.5348	21.1711	21.8451	23.6469	23.2087	22.4899	23.0163	22.9405	22.332	22.5579	23.0209	22.5653	23.6462	22.5053	22.1997	22.8864	22.6046	23.7438	22.4764	23.7817	24.0284	24.4731	24.4284	21.776	22.9334	23.7597	23.2126	23.5044	22.943	22.443	22.632
X5D767	ADA	25.6192	26.4538	26.0476	25.2248	26.2669	26.198	26.1507	26.0403	25.6945	26.2632	25.6392	25.8524	25.6022	25.603	26.2009	24.8448	26.2846	25.8373	26.0385	25.992	26.2301	25.6836	26.1024	25.43	26.1191	26.1307	25.9759	26.2506	26.602	25.9882	26.2947	25.8004	25.9654	25.948	25.6551	25.9129	25.7374	25.8953	25.3149	25.4007	25.1809	25.542
B2RNB2	ADAM17	24.2917	23.318	23.4683	23.7385	22.6588	21.8131	24.5263	24.5839	24.595	24.2514	24.1383	24.4952	24.2532	24.8351	24.4369	24.0019	24.7732	24.5083	24.2424	24.8412	24.7129	24.528	23.9081	24.5298	24.3869	24.1648	24.0719	22.9268	22.6038	22.0208	24.412	23.6753	21.9371	24.0455	24.6117	24.7042	24.8012	24.7987	24.2624	23.5244	25.0554	24.5712
Q13443	ADAM9	24.5799	24.2317	23.3527	23.6177	24.7298	22.6323	23.9328	22.0946	23.931	24.2693	23.1503	21.9102	22.2172	24.1414	24.0995	22.5585	24.5605	22.5028	23.9098	23.9464	23.6091	22.7906	24.0149	23.7998	23.8879	22.0163	23.4259	21.953	24.013	23.381	22.9832	23.297	22.7191	23.5098	22.8472	24.277	23.9248	24.825	23.327	22.1524	23.636	24.0665
Q59EC0	ADAR	26.8655	26.9104	26.623	26.66	26.6468	26.0814	26.0728	26.1917	26.336	26.0878	26.8509	26.1114	26.3351	26.5372	26.4162	26.6174	26.5556	26.6483	26.3507	26.3716	26.4768	26.3201	26.2701	26.4532	26.1827	26.6264	26.4648	26.336	26.6717	23.2651	26.3805	26.3658	26.1966	26.2465	26.3843	26.6027	26.4117	26.399	26.4407	26.5623	26.7703	26.5485
E7EV99	ADD1	25.5711	26.8882	26.485	26.8173	26.5193	26.8448	25.9115	26.1062	25.6497	26.3702	25.763	25.725	26.8008	26.0706	26.6764	26.2457	27.1569	26.0311	26.7772	26.0899	26.2678	26.1094	26.7506	26.3624	26.4348	26.2177	26.9069	26.4369	26.9958	25.7924	26.8156	26.2773	26.9585	26.4334	26.0275	26.7312	25.9545	26.7243	26.0459	26.852	26.0649	26.4131
Q9UEY8-2	ADD3	24.304	25.8469	25.2633	26.3082	25.8285	26.495	25.926	26.1339	26.4002	26.7549	25.5235	26.2482	27.0325	26.1619	26.3972	25.4354	25.9613	26.6608	26.7955	26.3835	26.9988	26.3445	26.6051	26.2783	26.5486	26.3553	26.8102	26.676	26.6867	24.2889	26.7314	26.4652	26.679	25.6441	25.956	26.9822	26.4266	26.7455	26.214	26.7959	25.6586	24.1807
