Protein	Genes	ABAGE_IgG	ABAGE_S	ANAMA_IgG	ANAMA_S	CARVA_IgG	CARVA_S	CECPA_IgG	CECPA_S	CHAAN_IgG	CHAAN_S	control_TGF5	DEPMA_IgG	DEPMA_S	DEVZI_IgG	DEVZI_S	DUCMA_IgG	DUCMA_S	GRUMA_IgG	GRUMA_S	HC4_IgG	HC4_S	HC7_IgG	HC7_S	HC9_IgG	HC9_S	HC10_IgG	HC10_S	HC11_IgG	HC11_S	LEFKA_IgG	LEFKA_S	MATEV_IgG	MATEV_S	PBS	RADSO_IgG	RADSO_S	VANMC_IgG	VANMC_S	VERSA_IgG	VERSA_S	WILWI_IgG	WILWI_S
A1A5C4	RRBP1	31.6938	31.7427	31.6471	31.768	31.621	31.617	31.2711	31.4569	31.3225	31.2711	32.03	31.4055	31.5722	31.3319	31.3281	31.6834	31.848	31.3752	31.3706	31.3921	31.3958	31.6136	31.6864	31.528	31.5299	31.7593	31.648	31.7626	31.8406	31.7593	31.6162	31.7346	31.5622	31.6141	31.4338	31.4449	31.3433	31.4529	31.6016	31.6271	31.5048	31.6028
H0YAV1	RRM2B	24.7815	22.5548	23.9263	23.2466	23.9723	22.4753	21.7726	22.7918	23.9143	22.6793	23.5164	23.9666	21.8677	23.6875	23.5457	23.1963	24.7469	23.7788	23.7481	21.7798	23.9746	23.8751	24.0941	23.8261	24.2426	24.3942	24.066	24.223	23.9172	24.4078	23.378	23.8812	24.3928	24.1396	23.9593	23.7575	24.14	23.7591	22.3546	23.2755	22.0343	24.8894
Q6PJJ2	RRP1	26.2617	22.8913	23.5753	22.9487	24.3639	23.1629	25.1437	24.734	21.9774	23.6875	23.5362	25.0349	25.7224	26.3357	26.0015	22.6913	25.3642	26.7117	24.8091	21.8188	25.6077	21.7957	22.8923	22.4839	22.385	24.226	24.7074	23.9933	24.0107	23.5001	23.5397	22.4931	22.7233	25.7037	26.913	25.0076	24.9612	22.4902	22.2505	22.4385	24.0042	25.1004
Q15050	RRS1	23.7239	23.2255	23.2196	24.272	24.0776	21.9705	23.9671	24.2326	24.6101	24.4316	24.5035	24.2947	24.1748	24.7894	24.1736	23.6027	22.6127	24.3376	24.2557	24.3128	24.0962	24.6856	24.2357	24.5631	24.6391	24.7634	23.976	24.7412	24.0108	23.6356	23.8857	23.3314	24.6298	24.5447	24.824	24.6169	24.9083	24.336	24.4777	23.7484	24.2512	23.4264
O76021	RSL1D1	26.8407	25.858	27.0539	26.7793	27.2899	26.8943	26.4539	26.1079	26.2215	26.4899	26.551	26.4315	26.9395	26.2147	26.414	26.4574	26.6071	26.5871	26.4392	26.4268	26.3862	26.7179	26.6589	26.8059	26.896	27.0228	26.7317	26.655	26.9393	26.9848	26.9409	27.3251	26.9859	26.6003	26.1656	26.0661	26.6736	26.387	26.7357	26.6017	27.2112	26.3175
Q15404	RSU1	28.2468	28.0892	28.1852	28.2936	28.5545	28.2615	28.4272	28.2406	28.3551	28.2476	28.3103	28.3505	28.013	28.4455	28.1354	28.4338	28.17	28.2158	28.5119	28.559	28.42	27.2493	27.3135	27.6915	27.3805	27.0781	27.1489	27.1576	26.794	28.1499	28.1649	27.899	28.3921	28.0353	28.6307	28.3954	28.4197	28.4389	28.0505	28.2508	28.3957	28.4083
O00442	RTCA	25.2434	24.1038	25.0708	25.4885	25.5685	25.0592	24.7409	24.3412	24.7584	24.8566	24.7487	24.8578	25.2976	24.8588	24.657	25.6401	24.8821	24.0161	24.657	25.1835	24.7107	24.4755	24.6148	24.5943	24.5598	25.1674	24.3333	24.751	25.2662	25.0257	24.6651	25.2765	25.473	24.4576	24.8585	24.5061	24.7007	24.6256	24.9254	25.1571	24.9908	23.5204
Q9Y3I0	RTCB	28.6349	28.8034	28.816	28.6996	28.6965	28.9067	28.2309	28.0835	28.3356	28.489	28.4297	28.6979	29.0936	28.4765	28.1409	28.8364	28.6293	28.1965	28.1829	28.8239	28.7468	28.7409	28.5547	28.7114	28.6251	28.8585	28.6301	28.9904	28.8341	28.6667	28.6651	28.2896	28.8301	28.5999	28.3749	28.2887	28.3954	28.1821	29.0323	29.0285	28.9458	28.6105
A0A024R5C4	RTN3	24.8999	23.2852	22.5814	26.8934	26.5554	26.9634	26.5932	26.8947	25.6996	25.7786	23.1491	26.0981	24.0667	26.6082	26.6483	22.4263	21.8188	26.8112	26.5161	21.8385	26.5823	25.7954	24.054	22.7831	26.3761	26.0963	21.3292	25.062	26.6244	26.3662	26.9304	26.7633	27.0898	26.3344	26.4518	26.6772	26.4807	26.4063	23.945	23.5885	23.4123	24.5436
Q9NQC3-5	RTN4	30.7155	30.4922	31.0276	30.5731	30.5335	30.6226	30.8218	30.4241	30.8121	30.5667	30.8868	30.7429	30.7199	30.7481	30.7142	30.8788	30.2217	30.8207	30.4549	30.9096	30.5411	30.7847	30.5478	30.7906	30.7614	30.6615	30.4378	31.1044	30.5757	31.0192	30.7118	30.9485	30.6028	30.8873	30.7373	30.6564	30.8503	30.5469	30.7325	30.6468	30.8316	30.2934
Q9NQC3-2	RTN4	30.7203	30.497	31.0324	30.6812	30.6936	30.8039	30.8265	30.522	30.823	30.5783	30.8382	30.7397	30.6696	30.6756	30.7036	30.7613	30.2264	30.7886	30.4249	30.8639	30.5661	30.7924	30.6077	30.8271	30.7867	30.703	30.3859	31.0651	30.5413	30.9044	30.8249	31.0094	30.8202	30.8927	30.7405	30.6051	30.7999	30.5256	30.7398	30.5641	30.8364	30.2633
Q96T51	RUFY1	26.8131	26.7917	26.6771	26.8874	26.5517	26.3992	26.0345	26.2274	26.487	25.8883	26.2933	25.5875	26.1881	26.4094	26.5067	26.5341	26.7884	26.3351	26.2905	26.3329	26.2318	26.232	26.1785	26.4185	26.1649	26.6019	26.3816	26.4752	26.2232	27.1178	26.9795	27.173	26.7144	26.1288	26.2562	26.486	26.1189	26.4173	26.5166	26.053	26.2154	26.309
Q9Y265	RUVBL1	28.0251	28.5215	28.624	28.4805	28.6698	28.7193	28.6252	28.4481	28.5206	28.4669	28.2832	28.5007	28.5985	28.4939	28.4125	28.6287	28.3934	28.4848	28.5894	28.6017	28.6495	28.4684	28.5709	28.7287	28.5093	28.442	28.385	28.5005	28.372	28.6835	28.5951	28.5745	28.6144	28.3319	28.5055	28.682	28.5504	28.641	28.7824	28.8379	28.7677	28.5568
Q9Y230	RUVBL2	28.9401	28.5739	28.2137	28.3389	28.4152	28.3152	27.9334	27.9206	27.7839	27.9544	28.1087	28.218	28.4886	27.9036	27.983	28.4913	28.7424	27.9274	27.9413	28.1725	28.244	28.2444	27.9588	27.8157	28.116	28.2186	28.3094	28.3867	28.3755	28.1271	28.1706	28.2033	28.4979	28.0975	27.9808	27.8919	27.8365	27.8319	28.579	28.4803	28.3229	28.4208
K4DI92	RWDD4	23.48	23.8928	22.473	22.9984	24.0329	23.8694	22.5132	22.6094	22.2508	22.0983	22.8229	22.8307	22.4191	23.8822	23.865	23.9312	23.7905	22.8489	22.6595	22.8258	23.8628	22.1439	23.8986	21.964	23.4227	21.6503	23.7556	23.9832	22.5452	23.5932	23.7433	23.0349	22.6688	23.6822	24.045	22.7451	23.8935	23.8604	22.486	23.7789	23.1794	23.6975
Q0EFA5	S	24.9897	23.9009	24.0176	25.0833	22.7032	25.3587	26.7523	27.0288	23.5311	25.4598	26.4712	22.5504	22.3507	22.0361	25.4214	23.4347	22.0936	25.0518	25.5923	21.5464	23.0894	25.8184	27.3135	27.2089	25.6884	26.2969	27.1822	27.8723	26.3504	23.6491	21.7181	21.845	26.3567	26.9578	23.1046	25.0906	22.108	22.7906	22.5614	23.298	23.513	23.5527
P60903	S100A10	29.5005	31.2823	32.3468	32.3542	32.9183	32.64	31.4455	31.4734	31.3563	31.2586	30.2811	31.4175	30.3768	31.1578	31.2442	30.7095	30.1162	31.3082	31.2837	31.0756	31.4404	30.1522	30.1151	30.4664	30.6787	29.8959	30.3727	29.6284	30.3674	33.0139	32.4849	32.6253	33.005	30.5727	30.9137	31.2257	31.3695	31.1436	30.5379	30.4172	31.0462	31.4606
Q99584	S100A13	25.2947	26.5973	30.9104	30.6664	31.167	30.7088	28.7237	29.199	28.3532	28.7697	27.5021	28.2302	26.4278	28.4473	28.1053	26.7744	25.9922	28.7201	29.1736	28.2559	28.5142	26.3771	26.282	27.0299	26.4693	26.8547	25.5169	25.8276	25.9822	31.1371	30.6669	30.8132	30.7839	27.9367	28.1785	28.1772	28.4631	28.1738	26.5616	26.5188	27.1996	27.3432
Q96FQ6	S100A16	28.6922	28.2635	29.7123	29.5083	30.0906	30.1135	29.3572	29.0839	29.1253	29.0788	28.9554	28.783	26.6779	28.8975	28.7533	27.9246	27.1546	29.0269	29.2411	29.0309	29.2364	27.5051	27.3677	27.9434	27.3336	28.0029	27.3803	27.6732	27.5398	29.942	30.2188	30.038	29.281	29.1872	28.9256	28.7484	28.9765	28.5904	27.8809	27.6872	28.2451	28.0762
